Product_Name,Diff,Total_Order,Total_GMV
" Love Beauty & Planet Volume and Bounty, Coconut Water & Mimosa Flower Conditioner 400ml",34,1,41500
"""SGM Ananda Advance+ Soya 2 (6-12 Bulan) Formula Soya Bubuk 400 GR""",14,19,3071384
"""SGM Bunda Complinutri Cokelat Susu Bubuk Khusus Ibu Hamil & Menyusui 300 GR""",33,1,65800
3M Nexcare Earloop Daily Kids Masker 3pcs,30,3,1950000
Absolute Feminine Hygiene 150ml - SP,17,1,30750
Absolute Hypoallergenic Youth Revitalize 150ml,31,1,46096
AmanBayiku Kait Laci dan Lemari,28,1,24220
AmanBayiku Protected Handle Lock,28,1,25463
Andalan Feminine Care Revitalize - 60 mL,11,2,21360
Aquadi Hand Sanitizer 100ml Pump,28,1,50000
Babiesfirst Baby Bath Scoop Green,28,1,25600
BabiesFirst Bf701c BabiesFirst Kids Rubber Sock Shoes Motif Elephant,0,1,91000
BabiesFirst Bf701d BabiesFirst Kids Rubber Sock Shoes Motif Fox,22,1,104000
Babiesfirst Silicone Baby Bib Shark,0,1,46200
Baby Happy Pants  XL 26+4,6,2,277536
Baby Happy Pants L 20,26,10,350000
Baby Happy Pants L 20+2,14,3,214276
Baby Happy Pants L 30+4,34,30,4483822
Baby Happy Pants M 20+2,12,4,480562
Baby Happy Pants M 34+4,24,23,4146962
Baby Happy Pants M 34+6 MKTG,15,3,1200000
Baby Happy Pants XXL 24+4,5,8,429932
Baby Mile Maritsa Red M,17,1,135000
Babymax Natural Detergent 1000ml (MRK),39,1,98000
Babymax Natural Detergent Travel Size 100ml,28,1,23000
Baju Libby Atasan Kancing Pundak,0,1,51000
Bantal Set Print Dasar Pink,4,1,62800
Bebe Roosie Telon Cream 60gr,4,3,69856
Bebelac 3 Bebenutri Vanila 1800gr Box,25,21,5846800
Bebelac 3 HIQ EQ Susu Pertumbuhan  Madu  1800 gr,38,2,792752
Bebelac 3 HIQ EQ Susu Pertumbuhan Madu 400 gr,27,1,125000
Bebelac 3 HIQ EQ Susu Pertumbuhan Madu 800 gr,13,2,965448
Bebelac 3 HIQ EQ Susu Pertumbuhan Vanilla 800 gr,25,103,39397390
Bebelac 4 Hiq Eq Susu Pertumbuhan Vanilla 1800 Gr,26,21,7653878
Bebelac 4 Hiq Eq Susu Pertumbuhan Vanilla 800 Gr,25,14,5295672
Bebelac 4 HiQ-EQ - Vanila 1000gr,27,2,267000
Bebelac 4 HIQ-EQ Susu Pertumbuhan - Madu - 1800 Gr,31,52,17425388
Bebelac 4 HIQ-EQ Susu Pertumbuhan - Madu - 800 Gr,26,59,18305772
Bebelac Gold 3 HIQ-EQ Susu Pertumbuhan - Vanila - 360 Gr,28,5,1363500
Bebelac Gold 3 HIQ-EQ Susu Pertumbuhan - Vanila - 700 Gr,33,28,10767200
Bebelac Gold 3 Soya Vanilla 700g,23,17,2414400
Bebelove 1 Plain  800gr Tin,35,59,16673384
Bebelove 1Plain 1800gr Box,26,49,14536000
Bebelove 2 Susu Formula 1800gr,32,60,21273856
Bebelove 2 Susu Formula 800gr,16,23,6907190
Bebelove Gold 1 700gr Box,35,12,4074700
Bebelove Gold 1 700gr Box NED,14,1,787800
Bebelove Gold 1 Soya 170g,11,1,36000
Bebelove Gold 2 360gr Box,9,2,138000
Bebelove Gold 2 700gr Box,32,35,13465200
Belli To Baby Essential Oil Cool & Fresh 10ml,35,2,340000
Belli To Baby Essential Oil Eucalyptus 10ml,16,1,153200
Belli To Baby Essential Oil Fever Go Away 10ml,33,6,2064172
Belli To Baby Essential Oil Lavender 10ml,35,2,600000
Belli To Baby Essential Oil Peppermint 10ml,35,1,150000
Belly Bandit BFF Brown-S,28,1,870359
Bilna Gift E-Voucher Rp500.000,5,2,1000000
Bilna Muslin Swaddle Stars,35,1,59400
